,index,GEOID,FULL_ADDRESS,MUNICIPALITY,COUNTY,STATE,ZIP_CODE,LATITUDE,LONGITUDE,simulated_income,simulated_commute_car
30,289,42003191700,946 TIMBERLAND AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15226.0,40.3993063,-80.0111459,106864,1
31,317,42003020300,1727 PENN AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15222.0,40.450368299999994,-79.98572,110798,1
32,323,42003101800,5709 MCCANDLESS AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15201.0,40.482322100000005,-79.9414998,42127,1
33,338,42003101400,1815 MORNINGSIDE AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15206.0,40.4871301,-79.92681800000001,90196,1
34,345,42003563200,515 EMLIN ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15212.0,40.4538195,-79.99992940000001,108900,1
35,352,42003151700,4039 MURRAY AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15217.0,40.42568920000001,-79.927312,39919,1
36,357,42003562400,320 CALLE AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15210.0,40.407289,-80.00077900000001,40520,1
37,366,42003151600,2 AUGUSTINE ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15207.0,40.4220311,-79.9467807,18847,1
38,369,42003562600,54 WOODVILLE AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15220.0,40.4343215,-80.032464,53910,1
39,372,42003160800,486 STERLING ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15203.0,40.4219158,-79.9742673,17380,1
40,376,42003562600,927 RUE GRANDE VUE ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15220.0,40.4466608,-80.03490649999999,22671,1
41,380,42003191900,2427 WEST LIBERTY AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15226.0,40.3995456,-80.02411579999999,85894,1
42,386,42003191100,427 AUGUSTA ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15211.0,40.4349945,-80.0238537,55428,1
43,403,42003192000,1908 BROADWAY AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15216.0,40.407369,-80.02750259999999,136340,1
44,410,42003151700,3504 BEECHWOOD BLVD,PITTSBURGH,ALLEGHENY COUNTY,PA,15217.0,40.4220415,-79.92693829999999,23431,1
45,416,42003250300,1502 FEDERAL ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15212.0,40.458805,-80.0074636,37733,1
46,433,42003202300,2210 ALLENDER AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15220.0,40.401967299999995,-80.046187,57877,1
47,442,42003010300,1408 5TH AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15219.0,40.4383641,-79.98576899999999,54411,1
48,456,42003140300,5712 WILKINS AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15217.0,40.4435941,-79.9247063,115387,1
49,457,42003191600,1413 DAGMAR AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15216.0,40.4135011,-80.02250790000001,115387,1
50,4,42003562500,2913 ZEPHYR AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15204.0,40.455046100000004,-80.05282840000001,7533,0
51,5,42003110600,822 COLLINS AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15206.0,40.4695965,-79.9169844,6807,0
52,7,42003040500,258 1/2 MCKEE PL,PITTSBURGH,ALLEGHENY COUNTY,PA,15213.0,40.438568,-79.95879520000001,55549,0
53,21,42003563000,1105 VILLAGE RD,PITTSBURGH,ALLEGHENY COUNTY,PA,15205.0,40.449962,-80.0752435,49076,0
54,22,42003110600,6316 JACKSON ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15206.0,40.4702835,-79.912368,69871,0
55,28,42003562400,226 CHALFONT ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15210.0,40.416419700000006,-80.0031125,15152,0
56,42,42003130100,1518 N LANG AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15208.0,40.463094500000004,-79.89578900000001,5724,0
57,66,42003281500,132 ELMONT ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15205.0,40.4395516,-80.05420790000001,10124,0
58,80,42003151600,4117 LYDIA ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15207.0,40.423667200000004,-79.94085229999999,45774,0
59,81,42003020100,2 MARKET SQ,PITTSBURGH,ALLEGHENY COUNTY,PA,15222.0,40.4404969,-80.00246740000001,71054,0
60,107,42003290200,1702 LEOLYN ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15210.0,40.3982169,-79.98604959999999,52379,0
61,110,42003101600,4710 KINCAID ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15224.0,40.4697178,-79.9454931,14079,0
62,112,42003270400,1123 INGHAM ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15212.0,40.4667471,-80.025669,14326,0
63,122,42003270300,3547 SHADELAND AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15212.0,40.4808037,-80.0352479,31107,0
64,168,42003561600,2944 SPRING ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15210.0,40.4152091,-79.96632070000001,60005,0
65,179,42003050900,2545 CHAUNCEY DR,PITTSBURGH,ALLEGHENY COUNTY,PA,15219.0,40.451116999999996,-79.9746702,65883,0
66,241,42003140200,125 WOODLAND RD,PITTSBURGH,ALLEGHENY COUNTY,PA,15232.0,40.4505013,-79.9225393,11458,0
67,243,42003562000,201 N BELLEFIELD AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15213.0,40.4493906,-79.95419179999999,741,0
68,273,42003240600,5 WATERSIDE PL,PITTSBURGH,ALLEGHENY COUNTY,PA,15222.0,40.461183,-79.9799469,51080,0
69,285,42003040900,20 MACKEY ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15213.0,40.433879299999994,-79.9590934,343,0
70,303,42003191800,744 BROOKLINE BLVD,PITTSBURGH,ALLEGHENY COUNTY,PA,15226.0,40.3937979,-80.0205114,91556,0
71,305,42003101600,5322 CORNWALL ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15224.0,40.469435100000005,-79.9363869,86348,0
72,308,42003250900,119 FOUNTAIN ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15212.0,40.4590149,-80.001766,3652,0
73,320,42003030500,716 MERCER ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15219.0,40.44438770000001,-79.98681540000001,58723,0
74,322,42003050100,639 KIRKPATRICK ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15219.0,40.446520299999996,-79.9776036,12050,0
75,330,42003051000,239 BURROWS ST APT C,PITTSBURGH,ALLEGHENY COUNTY,PA,15213.0,40.4394592,-79.9696158,22789,0
76,339,42003080600,424 S ATLANTIC AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15224.0,40.458881700000006,-79.9401006,66000,0
77,355,42003260900,126 HAZLETT ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15214.0,40.4757221,-80.00203590000001,23900,0
78,360,42003060500,3438 MELWOOD AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15219.0,40.4585141,-79.962111,14039,0
79,363,42003140300,6316 AYLESBORO AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15217.0,40.439195500000004,-79.9186813,19334,0
80,364,42003080600,320 S PACIFIC AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15224.0,40.4609787,-79.9408368,19334,0
81,378,42003160900,2915 SIDNEY ST APT 512,PITTSBURGH,ALLEGHENY COUNTY,PA,15203.0,40.4226593,-79.95869379999999,14056,0
82,395,42003290100,1926 BROWNSVILLE RD,PITTSBURGH,ALLEGHENY COUNTY,PA,15210.0,40.395555,-79.9873,45762,0
83,425,42003151600,4334 STANLEY ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15207.0,40.42078789999999,-79.94359449999999,64485,0
84,427,42003130400,518 BRUSHTON AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15208.0,40.4502263,-79.88875340000001,72929,0
85,436,42003240600,2029 VERONICA ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15212.0,40.4697574,-79.9804515,2645,0
86,468,42003220600,1205 RESACA PL,PITTSBURGH,ALLEGHENY COUNTY,PA,15212.0,40.4557375,-80.0122588,93284,0
87,472,42003160900,2915 SIDNEY ST APT 535,PITTSBURGH,ALLEGHENY COUNTY,PA,15203.0,40.4226593,-79.95869379999999,91182,0
88,483,42003563200,1101 LINDEN PL,PITTSBURGH,ALLEGHENY COUNTY,PA,15212.0,40.457025,-80.0010183,62674,0
89,519,42003060300,3485 BUTLER ST UNIT 102,PITTSBURGH,ALLEGHENY COUNTY,PA,15201.0,40.4634018,-79.9669931,12884,0
90,526,42003210700,1214 W NORTH AVE,PITTSBURGH,ALLEGHENY COUNTY,PA,15233.0,40.452893700000004,-80.0232895,8555,0
91,527,42003040900,14 EDITH PL,PITTSBURGH,ALLEGHENY COUNTY,PA,15213.0,40.4333097,-79.95415190000001,754,0
92,535,42003250900,139 HENDERSON ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15212.0,40.4597464,-80.00567640000001,11359,0
93,557,42003160900,2403 JANE ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15203.0,40.426499799999995,-79.9710582,4283,0
94,573,42003281500,1435 CRAFTON BLVD,PITTSBURGH,ALLEGHENY COUNTY,PA,15205.0,40.4384063,-80.0582686,190,0
95,605,42003080200,4701 1/2 LORIGAN ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15224.0,40.459580700000004,-79.9512475,15044,0
96,609,42003020100,550 MARKET ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15222.0,40.4416086,-80.0007468,54219,0
97,623,42003060300,3417 DENNY ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15201.0,40.462996399999994,-79.9648886,3272,0
98,631,42003070300,912 IVY ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15232.0,40.4502036,-79.93234090000001,50106,0
99,634,42003070900,5445 POTTER ST,PITTSBURGH,ALLEGHENY COUNTY,PA,15232.0,40.4549273,-79.9362389,34197,0
